period	culture	class
	Neolithique ancien valaisan	
Blicquy	Group de Villeneuve-Saint-Germain	en
	Lepenski Vir	
	Maglemose	
frühe	Stichbandkeramik	
späte LBK (mittlere Phase der Zeliezovce-Gruppe)	Linienbandkeramik	en
3. Phase der Periode I	Linienbandkeramik	en
	Horgen	
Phase Ic der niederländischen LBK	Linienbandkeramik	en
mittlere LBK (Phase IIa-c der böhmischen LBK)	Linienbandkeramik	en
mittlere bis späte LBK (Zeliezovce-Typ)	Linienbandkeramik	en
Notenkopf-Stufe	Linienbandkeramik	en
Phase Ib der niederländischen LBK	Linienbandkeramik	en
7	Linienbandkeramik	en
Langweiler 2, Phase 2b	Linienbandkeramik	en
Übergang Mesolithikum/Neolithikum	Linienbandkeramik	en
II/III nach Zápotocká (1970)	Stichbandkeramik	
ältere LBK (Phase Ic)	Linienbandkeramik	en
mittlere LBK (Phase IIa)	Linienbandkeramik	en
Ia/Ib	Lengyel	
älteste Notenkopfphase	Linienbandkeramik	en
frühe	Linienbandkeramik	en
jüngere LBK	Linienbandkeramik	en
	Swifterbant	
mittlere LBK	Linienbandkeramik	en
	Trichterbecher-Westgruppe	
Middle	Swifterbant	
Frühphase der älteren transdanubischen LBK	Linienbandkeramik	en
younger	Tisza culture	
III	Karanovo culture	
Sopot-Lengyel II	Lengyel	
Ia	Starcevo-Körös-Criș culture	en
II	Lepenski Vir	
Id-e	Lepenski Vir	
Proto-	Lepenski Vir	
	Kakanj Culture	
	Chalcolithic	
	Aichbühl	
	Impresso	en
	La Hoguette	
	Ertebølle-Ellerbek	
	Neolithiqe ancien rhodanien	
	Schussenried	
	Tardenoisien	
Ende Periode IV (Sárka)	Linienbandkeramik	en
Phase III	Linienbandkeramik	en
frühe; atypische, unverzierte Ware	Linienbandkeramik	en
Phase IIc der niederländischen LBK	Linienbandkeramik	en
Zeliezovce-Gruppe	Linienbandkeramik	en
Phase Ib/c der niederländischen LBK	Linienbandkeramik	en
